Identifier,StructureData,Polymer EntityData,,,
Entry ID,Stucture Keywords,Entity Polymer Type,Asym ID,Source Organism,
"1A9L","RNA","RNA","A"
,,"Protein","NC","Thermus thermophilus HB8"
,,,"HA"
,,"Protein","IA","Thermus thermophilus HB8"
,,,"OC"
,,"RNA","PC","Thermus thermophilus HB8"
,,,"JA"
,,"RNA","QC","Thermus thermophilus HB8"
,,,"KA"
,,"Protein","LA","Thermus thermophilus HB8"
,,,"RC"
,,"Protein","MA","Thermus thermophilus HB8"
,,,"SC"
,,"Protein","TC","Thermus thermophilus HB8"
,,,"NA"
,,"Protein","OA","Thermus thermophilus HB8"
,,,"UC"
,,"Protein","PA","Thermus thermophilus HB8"
,,,"VC"
,,"Protein","WC","Thermus thermophilus HB8"
,,,"QA"
,,"Protein","RA","Thermus thermophilus HB8"
,,,"XC"
,,"Protein","SA","Thermus thermophilus HB8"
,,,"YC"
,,"Protein","TA","Thermus thermophilus HB8"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus HB8"
,,,"UA"
,,"Protein","BD","Thermus thermophilus HB8"
,,,"VA"
,,"Protein","CD","Thermus thermophilus HB8"
,,,"WA"
,,"Protein","DD","Thermus thermophilus HB8"
,,,"XA"
,,"Protein","ED","Thermus thermophilus HB8"
,,,"YA"
,,"Protein","FD","Thermus thermophilus HB8"
,,,"ZA"
,,"Protein","GD","Thermus thermophilus HB8"
,,,"AB"
,,"Protein","BB","Thermus thermophilus HB8"
,,,"HD"
,,"Protein","CB","Thermus thermophilus HB8"
,,,"ID"
,,"Protein","DB","Thermus thermophilus HB8"
,,,"JD"
,,"Protein","EB","Thermus thermophilus HB8"
,,,"KD"
,,"Protein","FB","Thermus thermophilus HB8"
,,,"LD"
"4V8P","RIBOSOME","RNA","A","Tetrahymena thermophila"
,,,"JF"
,,,"VB"
,,,"PD"
,,"Protein","B","Tetrahymena thermophila"
,,,"QD"
,,,"WB"
,,,"KF"
,,"Protein","C","Tetrahymena thermophila"
,,,"LF"
,,,"RD"
,,,"XB"
,,"Protein","MF","Tetrahymena thermophila"
,,,"D"
,,,"SD"
,,,"YB"
,,"Protein","E","Tetrahymena thermophila"
,,,"NF"
,,,"TD"
,,,"ZB"
,,"Protein","F","Tetrahymena thermophila"
,,,"AC"
,,,"OF"
,,,"UD"
,,"Protein","BC","Tetrahymena thermophila"
,,,"G"
,,,"PF"
,,,"VD"
,,"Protein","CC","Tetrahymena thermophila"
,,,"QF"
,,,"WD"
,,,"H"
,,"Protein","DC","Tetrahymena thermophila"
,,,"I"
,,,"XD"
,,,"RF"
,,"Protein","EC","Tetrahymena thermophila"
,,,"SF"
,,,"YD"
,,,"J"
,,"Protein","K","Tetrahymena thermophila"
,,,"ZD"
,,,"FC"
,,,"TF"
,,"Protein","AE","Tetrahymena thermophila"
,,,"UF"
,,,"GC"
,,,"L"
,,"Protein","BE","Tetrahymena thermophila"
,,,"HC"
,,,"M"
,,,"VF"
,,"Protein","CE","Tetrahymena thermophila"
,,,"IC"
,,,"N"
,,,"WF"
,,"Protein","JC","Tetrahymena thermophila"
,,,"DE"
,,,"O"
,,,"XF"
,,"Protein","EE","Tetrahymena thermophila"
,,,"P"
,,,"YF"
,,,"KC"
,,"Protein","FE","Tetrahymena thermophila"
,,,"LC"
,,,"Q"
,,,"ZF"
,,"Protein","GE","Tetrahymena thermophila"
,,,"AG"
,,,"MC"
,,,"R"
,,"Protein","BG","Tetrahymena thermophila"
,,,"NC"
,,,"S"
,,,"HE"
,,"RNA","OC","Tetrahymena thermophila"
,,,"UA"
,,,"IE"
,,,"T"
,,"RNA","JE","Tetrahymena thermophila"
,,,"PC"
,,,"U"
,,,"VA"
,,"Protein","KE","Tetrahymena thermophila"
,,,"QC"
,,,"V"
,,,"WA"
,,"Protein","RC","Tetrahymena thermophila"
,,,"W"
,,,"XA"
,,,"LE"
,,"Protein","ME","Tetrahymena thermophila"
,,,"SC"
,,,"X"
,,,"YA"
,,"Protein","NE","Tetrahymena thermophila"
,,,"Y"
,,,"ZA"
,,,"TC"
,,"Protein","AB","Tetrahymena thermophila"
,,,"OE"
,,,"UC"
,,,"Z"
,,"Protein","AA","Tetrahymena thermophila"
,,,"BB"
,,,"PE"
,,,"VC"
,,"Protein","BA","Tetrahymena thermophila"
,,,"CB"
,,,"WC"
,,,"QE"
,,"Protein","CA","Tetrahymena thermophila"
,,,"DB"
,,,"RE"
,,,"XC"
,,"Protein","DA","Tetrahymena thermophila"
,,,"SE"
,,,"YC"
,,,"EB"
,,"Protein","EA","Tetrahymena thermophila"
,,,"FB"
,,,"TE"
,,,"ZC"
,,"Protein","FA","Tetrahymena thermophila"
,,,"GB"
,,,"UE"
,,,"AD"
,,"Protein","BD","Tetrahymena thermophila"
,,,"HB"
,,,"VE"
,,,"GA"
,,"Protein","CD","Tetrahymena thermophila"
,,,"HA"
,,,"IB"
,,,"WE"
,,"Protein","XE","Tetrahymena thermophila"
,,,"DD"
,,,"IA"
,,,"JB"
,,"Protein","JA","Tetrahymena thermophila"
,,,"YE"
,,,"ED"
,,"Protein","FD","Tetrahymena thermophila"
,,,"LB"
,,,"KA"
,,,"ZE"
,,"Protein","GD","Tetrahymena thermophila"
,,,"MB"
,,,"AF"
,,,"LA"
,,"Protein","BF","Tetrahymena thermophila"
,,,"HD"
,,,"MA"
,,,"NB"
,,"Protein","CF","Tetrahymena thermophila"
,,,"NA"
,,,"OB"
,,,"ID"
,,"Protein","DF","Tetrahymena thermophila"
,,,"JD"
,,,"OA"
,,,"PB"
,,"Protein","EF","Tetrahymena thermophila"
,,,"PA"
,,,"QB"
,,,"KD"
,,"Protein","FF","Tetrahymena thermophila"
,,,"QA"
,,,"LD"
,,,"RB"
,,"Protein","GF","Tetrahymena thermophila"
,,,"MD"
,,,"RA"
,,,"SB"
,,"Protein","HF","Tetrahymena thermophila"
,,,"ND"
,,,"SA"
,,,"TB"
,,"Protein","IF","Tetrahymena thermophila"
,,,"TA"
,,,"UB"
,,,"OD"
,,"Protein","KB","Tetrahymena thermophila"
"4V8Q","RIBOSOME","Protein","A","Thermus thermophilus HB8"
,,"Protein","B","Thermus thermophilus HB8"
,,"Protein","C","Thermus thermophilus HB8"
,,"Protein","D","Thermus thermophilus HB8"
,,"Protein","E","Thermus thermophilus HB8"
,,"Protein","F","Thermus thermophilus HB8"
,,"Protein","G","Thermus thermophilus HB8"
,,"Protein","H","Thermus thermophilus HB8"
,,"Protein","I","Thermus thermophilus HB8"
,,"Protein","J","Thermus thermophilus HB8"
,,"RNA","K","Thermus thermophilus HB8"
,,"RNA","L","Thermus thermophilus HB8"
,,"Protein","M","Thermus thermophilus HB8"
,,"Protein","N","Thermus thermophilus HB8"
,,"Protein","O","Thermus thermophilus HB8"
,,"Protein","P","Thermus thermophilus HB8"
,,"Protein","Q","Thermus thermophilus HB8"
,,"Protein","R","Thermus thermophilus HB8"
,,"Protein","S","Thermus thermophilus HB8"
,,"Protein","T","Thermus thermophilus HB8"
,,"Protein","U","Thermus thermophilus HB8"
,,"Protein","V","Thermus thermophilus HB8"
,,"Protein","W","Thermus thermophilus HB8"
,,"Protein","X","Thermus thermophilus HB8"
,,"Protein","Y","Thermus thermophilus HB8"
,,"Protein","Z","Thermus thermophilus HB8"
,,"Protein","AA","Thermus thermophilus HB8"
,,"Protein","BA","Thermus thermophilus HB8"
,,"Protein","CA","Thermus thermophilus HB8"
,,"Protein","DA","Thermus thermophilus HB8"
,,"Protein","EA","Thermus thermophilus HB8"
,,"Protein","FA","Thermus thermophilus HB8"
,,"Protein","GA","Thermus thermophilus HB8"
,,"Protein","HA","Thermus thermophilus HB8"
,,"RNA","IA","Thermus thermophilus HB8"
,,"Protein","JA","Thermus thermophilus HB8"
,,"Protein","KA","Thermus thermophilus HB8"
,,"Protein","LA","Thermus thermophilus HB8"
,,"Protein","MA","Thermus thermophilus HB8"
,,"Protein","NA","Thermus thermophilus HB8"
,,"Protein","OA","Thermus thermophilus HB8"
,,"Protein","PA","Thermus thermophilus HB8"
,,"Protein","QA","Thermus thermophilus HB8"
,,"Protein","RA","Thermus thermophilus HB8"
,,"Protein","SA","Thermus thermophilus HB8"
,,"Protein","TA","Thermus thermophilus HB8"
,,"Protein","UA","Thermus thermophilus HB8"
,,"Protein","VA","Thermus thermophilus HB8"
,,"Protein","WA","Thermus thermophilus HB8"
,,"Protein","XA","Thermus thermophilus HB8"
,,"Protein","YA","Thermus thermophilus HB8"
,,"Protein","ZA","Thermus thermophilus HB8"
,,"Protein","AB","Thermus thermophilus HB8"
,,"Protein","BB","Thermus thermophilus HB8"
,,"Protein","CB","Thermus thermophilus HB8"
,,"RNA","EB","Escherichia coli K-12"
,,,"DB"
,,"RNA","FB","Escherichia coli"
,,"RNA","GB","Thermus thermophilus HB8"
,,"Protein","HB","Thermus thermophilus HB8"
"4V8X","RIBOSOME","RNA","A","Thermus thermophilus HB8"
,,,"HB"
,,"Protein","B","Thermus thermophilus HB8"
,,,"IB"
,,"Protein","C","Thermus thermophilus HB8"
,,,"JB"
,,"Protein","D","Thermus thermophilus HB8"
,,,"KB"
,,"Protein","E","Thermus thermophilus HB8"
,,,"LB"
,,"Protein","F","Thermus thermophilus HB8"
,,,"MB"
,,"Protein","NB","Thermus thermophilus HB8"
,,,"G"
,,"Protein","H","Thermus thermophilus HB8"
,,,"OB"
,,"Protein","I","Thermus thermophilus HB8"
,,,"PB"
,,"Protein","J","Thermus thermophilus HB8"
,,,"QB"
,,"Protein","K","Thermus thermophilus HB8"
,,,"RB"
,,"Protein","L","Thermus thermophilus HB8"
,,,"SB"
,,"Protein","M","Thermus thermophilus HB8"
,,,"TB"
,,"Protein","N","Thermus thermophilus HB8"
,,,"UB"
,,"Protein","O","Thermus thermophilus HB8"
,,,"VB"
,,"Protein","P","Thermus thermophilus HB8"
,,,"WB"
,,"Protein","Q","Thermus thermophilus HB8"
,,,"XB"
,,"Protein","R","Thermus thermophilus HB8"
,,,"YB"
,,"Protein","S","Thermus thermophilus HB8"
,,,"ZB"
,,"Protein","AC","Thermus thermophilus HB8"
,,,"T"
,,"Protein","BC","Thermus thermophilus HB8"
,,,"U"
,,"RNA","V","Thermus thermophilus HB8"
,,"RNA","CC","Thermus thermophilus HB8"
,,,"DC"
,,,"W"
,,"RNA","X","synthetic construct"
,,"Protein","FC","Escherichia coli K-12"
,,,"GC"
,,,"Y"
,,,"Z"
,,"Protein","AA","Thermus thermophilus HB8"
,,,"HC"
,,"Protein","BA","Thermus thermophilus HB8"
,,,"IC"
,,"Protein","CA","Thermus thermophilus HB8"
,,,"JC"
,,"Protein","DA","Thermus thermophilus HB8"
,,,"KC"
,,"Protein","EA","Thermus thermophilus HB8"
,,,"LC"
,,"Protein","FA","Thermus thermophilus HB8"
,,,"MC"
,,"Protein","NC","Thermus thermophilus HB8"
,,,"GA"
,,"Protein","HA","Thermus thermophilus HB8"
,,,"OC"
,,"Protein","IA","Thermus thermophilus HB8"
,,,"PC"
,,"Protein","JA","Thermus thermophilus HB8"
,,,"QC"
,,"RNA","KA","Thermus thermophilus HB8"
,,,"RC"
,,"RNA","LA","Thermus thermophilus HB8"
,,,"SC"
,,"Protein","MA","Thermus thermophilus HB8"
,,,"TC"
,,"Protein","NA","Thermus thermophilus HB8"
,,,"UC"
,,"Protein","VC","Thermus thermophilus HB8"
,,,"OA"
,,"Protein","PA","Thermus thermophilus HB8"
,,,"WC"
,,"Protein","QA","Thermus thermophilus HB8"
,,,"XC"
,,"Protein","RA","Thermus thermophilus HB8"
,,,"YC"
,,"Protein","SA","Thermus thermophilus HB8"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus HB8"
,,,"TA"
,,"Protein","BD","Thermus thermophilus HB8"
,,,"UA"
,,"Protein","CD","Thermus thermophilus HB8"
,,,"VA"
,,"Protein","DD","Thermus thermophilus HB8"
,,,"WA"
,,"Protein","ED","Thermus thermophilus HB8"
,,,"XA"
,,"Protein","FD","Thermus thermophilus HB8"
,,,"YA"
,,"Protein","GD","Thermus thermophilus HB8"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
,,,"HD"
,,"Protein","BB","Thermus thermophilus HB8"
,,,"ID"
,,"Protein","CB","Thermus thermophilus HB8"
,,,"JD"
,,"Protein","KD","Thermus thermophilus HB8"
,,,"DB"
,,"Protein","EB","Thermus thermophilus HB8"
,,,"LD"
,,"Protein","FB","Thermus thermophilus HB8"
,,,"MD"
,,"Protein","GB","Thermus thermophilus HB8"
,,,"ND"
,,"RNA","EC","Escherichia coli"
"4V90","RIBOSOME","RNA","A","Thermus thermophilus HB8"
,,"Protein","B","Thermus thermophilus HB8"
,,"Protein","C","Thermus thermophilus HB8"
,,"Protein","D","Thermus thermophilus HB8"
,,"Protein","E","Thermus thermophilus HB8"
,,"Protein","F","Thermus thermophilus HB8"
,,"Protein","G","Thermus thermophilus HB8"
,,"Protein","H","Thermus thermophilus HB8"
,,"Protein","I","Thermus thermophilus HB8"
,,"Protein","J","Thermus thermophilus HB8"
,,"Protein","K","Thermus thermophilus HB8"
,,"Protein","L","Thermus thermophilus HB8"
,,"Protein","M","Thermus thermophilus HB8"
,,"Protein","N","Thermus thermophilus HB8"
,,"Protein","O","Thermus thermophilus HB8"
,,"Protein","P","Thermus thermophilus HB8"
,,"Protein","Q","Thermus thermophilus HB8"
,,"Protein","R","Thermus thermophilus HB8"
,,"Protein","S","Thermus thermophilus HB8"
,,"Protein","T","Thermus thermophilus HB8"
,,"Protein","U","Thermus thermophilus HB8"
,,"RNA","V","Thermus thermophilus HB8"
,,"RNA","W","synthetic construct"
,,"Protein","X","Thermus thermophilus HB8"
,,"Protein","Y","Thermus thermophilus HB8"
,,"Protein","Z","Thermus thermophilus HB8"
,,"Protein","AA","Thermus thermophilus HB8"
,,"Protein","BA","Thermus thermophilus HB8"
,,"Protein","CA","Thermus thermophilus HB8"
,,"Protein","DA","Thermus thermophilus HB8"
,,"Protein","EA","Thermus thermophilus HB8"
,,"Protein","FA","Thermus thermophilus HB8"
,,"Protein","GA","Thermus thermophilus HB8"
,,"Protein","HA","Thermus thermophilus HB8"
,,"RNA","IA","Thermus thermophilus HB8"
,,"RNA","JA","Thermus thermophilus HB8"
,,"Protein","KA","Thermus thermophilus HB8"
,,"Protein","LA","Thermus thermophilus HB8"
,,"Protein","MA","Thermus thermophilus HB8"
,,"Protein","NA","Thermus thermophilus HB8"
,,"Protein","OA","Thermus thermophilus HB8"
,,"Protein","PA","Thermus thermophilus HB8"
,,"Protein","QA","Thermus thermophilus HB8"
,,"Protein","RA","Thermus thermophilus HB8"
,,"Protein","SA","Thermus thermophilus HB8"
,,"Protein","TA","Thermus thermophilus HB8"
,,"Protein","UA","Thermus thermophilus HB8"
,,"Protein","VA","Thermus thermophilus HB8"
,,"Protein","WA","Thermus thermophilus HB8"
,,"Protein","XA","Thermus thermophilus HB8"
,,"Protein","YA","Thermus thermophilus HB8"
,,"Protein","ZA","Thermus thermophilus HB8"
,,"Protein","AB","Thermus thermophilus HB8"
,,"Protein","BB","Thermus thermophilus HB8"
,,"Protein","CB","Thermus thermophilus HB8"
,,"Protein","DB","Thermus thermophilus HB8"
,,"Protein","EB","Thermus thermophilus HB8"
,,"Protein","FB","Thermus thermophilus HB8"
"4V95","RIBOSOME","RNA","A","Thermus thermophilus HB8"
,,,"DB"
,,"Protein","B","Thermus thermophilus HB8"
,,,"EB"
,,"Protein","FB","Thermus thermophilus HB8"
,,,"C"
,,"Protein","D","Thermus thermophilus HB8"
,,,"GB"
,,"Protein","E","Thermus thermophilus HB8"
,,,"HB"
,,"Protein","F","Thermus thermophilus HB8"
,,,"IB"
,,"Protein","G","Thermus thermophilus HB8"
,,,"JB"
,,"Protein","H","Thermus thermophilus HB8"
,,,"KB"
,,"Protein","I","Thermus thermophilus HB8"
,,,"LB"
,,"Protein","J","Thermus thermophilus HB8"
,,,"MB"
,,"Protein","K","Thermus thermophilus HB8"
,,,"NB"
,,"Protein","L","Thermus thermophilus HB8"
,,,"OB"
,,"Protein","M","Thermus thermophilus HB8"
,,,"PB"
,,"Protein","N","Thermus thermophilus HB8"
,,,"QB"
,,"Protein","O","Thermus thermophilus HB8"
,,,"RB"
,,"Protein","P","Thermus thermophilus HB8"
,,,"SB"
,,"Protein","Q","Thermus thermophilus HB8"
,,,"TB"
,,"Protein","R","Thermus thermophilus HB8"
,,,"UB"
,,"Protein","S","Thermus thermophilus HB8"
,,,"VB"
,,"Protein","T","Thermus thermophilus HB8"
,,,"WB"
,,"Protein","U","Thermus thermophilus HB8"
,,,"XB"
,,"Protein","V","Escherichia coli K-12"
,,"RNA","W","Thermus thermophilus HB8"
,,,"YB"
,,"RNA","X","synthetic construct"
,,,"ZB"
,,"RNA","AC","Thermus thermophilus HB8"
,,,"Y"
,,"RNA","BC","Thermus thermophilus HB8"
,,,"Z"
,,"Protein","AA","Thermus thermophilus HB8"
,,,"CC"
,,"Protein","BA","Thermus thermophilus HB8"
,,,"DC"
,,"Protein","CA","Thermus thermophilus HB8"
,,,"EC"
,,"Protein","DA","Thermus thermophilus HB8"
,,,"FC"
,,"Protein","EA","Thermus thermophilus HB8"
,,,"GC"
,,"Protein","FA","Thermus thermophilus HB8"
,,,"HC"
,,"Protein","GA","Thermus thermophilus HB8"
,,,"IC"
,,"Protein","HA","Thermus thermophilus HB8"
,,,"JC"
,,"Protein","IA","Thermus thermophilus HB8"
,,,"KC"
,,"Protein","JA","Thermus thermophilus HB8"
,,,"LC"
,,"Protein","KA","Thermus thermophilus HB8"
,,,"MC"
,,"Protein","LA","Thermus thermophilus HB8"
,,,"NC"
,,"Protein","MA","Thermus thermophilus HB8"
,,,"OC"
,,"Protein","NA","Thermus thermophilus HB8"
,,,"PC"
,,"Protein","OA","Thermus thermophilus HB8"
,,,"QC"
,,"Protein","PA","Thermus thermophilus HB8"
,,,"RC"
,,"Protein","QA","Thermus thermophilus HB8"
,,,"SC"
,,"Protein","RA","Thermus thermophilus HB8"
,,,"TC"
,,"Protein","SA","Thermus thermophilus HB8"
,,,"UC"
,,"Protein","TA","Thermus thermophilus HB8"
,,,"VC"
,,"Protein","UA","Thermus thermophilus HB8"
,,,"WC"
,,"Protein","VA","Thermus thermophilus HB8"
,,,"XC"
,,"Protein","YC","Thermus thermophilus HB8"
,,,"WA"
,,"Protein","XA","Thermus thermophilus HB8"
,,,"ZC"
,,"Protein","AD","Thermus thermophilus HB8"
,,,"YA"
,,"Protein","BD","Thermus thermophilus HB8"
,,,"ZA"
,,"Protein","AB","Thermus thermophilus HB8"
,,,"CD"
,,"Protein","BB","Thermus thermophilus HB8"
,,,"DD"
,,"Protein","ED","Thermus thermophilus HB8"
,,,"CB"
"4V99","VIRUS/RNA","Protein","A","Panicum mosaic virus strain Kansas 109S"
,,,"AA"
,,,"AB"
,,,"AC"
,,,"AD"
,,,"AE"
,,,"AF"
,,,"AG"
,,,"AH"
,,,"AJ"
,,,"AK"
,,,"AL"
,,,"AM"
,,,"AN"
,,,"AO"
,,,"AP"
,,,"AQ"
,,,"B"
,,,"BB"
,,,"BD"
,,,"BF"
,,,"BH"
,,,"BJ"
,,,"BL"
,,,"BN"
,,,"BP"
,,,"BR"
,,,"C"
,,,"CA"
,,,"CB"
,,,"CC"
,,,"CD"
,,,"CE"
,,,"CF"
,,,"CG"
,,,"CH"
,,,"CK"
,,,"CL"
,,,"CM"
,,,"CN"
,,,"CO"
,,,"CP"
,,,"CQ"
,,,"CR"
,,,"DA"
,,,"DC"
,,,"DE"
,,,"DG"
,,,"DI"
,,,"DK"
,,,"DM"
,,,"DO"
,,,"DQ"
,,,"E"
,,,"EA"
,,,"EB"
,,,"EC"
,,,"ED"
,,,"EE"
,,,"EF"
,,,"EG"
,,,"EH"
,,,"EI"
,,,"EJ"
,,,"EK"
,,,"EN"
,,,"EO"
,,,"EP"
,,,"EQ"
,,,"ER"
,,,"F"
,,,"FB"
,,,"FD"
,,,"FF"
,,,"FH"
,,,"FJ"
,,,"FL"
,,,"FN"
,,,"FP"
,,,"FR"
,,,"GB"
,,,"GC"
,,,"GD"
,,,"GE"
,,,"GF"
,,,"GG"
,,,"GH"
,,,"GI"
,,,"GJ"
,,,"GK"
,,,"GL"
,,,"GN"
,,,"GQ"
,,,"GR"
,,,"HA"
,,,"HC"
,,,"HE"
,,,"HG"
,,,"HK"
,,,"HM"
,,,"HQ"
,,,"I"
,,,"IA"
,,,"IB"
,,,"IC"
,,,"ID"
,,,"IE"
,,,"IF"
,,,"IG"
,,,"IH"
,,,"II"
,,,"IJ"
,,,"IK"
,,,"IL"
,,,"IM"
,,,"IO"
,,,"IP"
,,,"IQ"
,,,"IR"
,,,"J"
,,,"JB"
,,,"JD"
,,,"JH"
,,,"JJ"
,,,"JN"
,,,"JP"
,,,"JR"
,,,"K"
,,,"KA"
,,,"KB"
,,,"KC"
,,,"KD"
,,,"KE"
,,,"KF"
,,,"KG"
,,,"KH"
,,,"KI"
,,,"KJ"
,,,"KK"
,,,"KL"
,,,"KM"
,,,"KN"
,,,"KO"
,,,"KP"
,,,"KQ"
,,,"KR"
,,,"LA"
,,,"LC"
,,,"LE"
,,,"LI"
,,,"LK"
,,,"LO"
,,,"LQ"
,,,"M"
,,,"MA"
,,,"MC"
,,,"MD"
,,,"MG"
,,,"MH"
,,,"MI"
,,,"MJ"
,,,"MK"
,,,"ML"
,,,"MN"
,,,"MO"
,,,"MP"
,,,"MQ"
,,,"N"
,,,"NB"
,,,"ND"
,,,"NF"
,,,"NH"
,,,"NJ"
,,,"NL"
,,,"NP"
,,,"O"
,,,"OB"
,,,"OC"
,,,"OD"
,,,"OE"
,,,"OF"
,,,"OG"
,,,"OH"
,,,"OI"
,,,"OJ"
,,,"OK"
,,,"OL"
,,,"OM"
,,,"ON"
,,,"OO"
,,,"OP"
,,,"OQ"
,,,"PA"
,,,"PC"
,,,"PE"
,,,"PI"
,,,"PK"
,,,"PM"
,,,"PO"
,,,"PQ"
,,,"Q"
,,,"QA"
,,,"QB"
,,,"QC"
,,,"QE"
,,,"QF"
,,,"QG"
,,,"QH"
,,,"QK"
,,,"QL"
,,,"QM"
,,,"QN"
,,,"QO"
,,,"QP"
,,,"QQ"
,,,"R"
,,,"RB"
,,,"RD"
,,,"RF"
,,,"RH"
,,,"RJ"
,,,"RN"
,,,"RP"
,,,"S"
,,,"SA"
,,,"SB"
,,,"SD"
,,,"SE"
,,,"SF"
,,,"SG"
,,,"SI"
,,,"SJ"
,,,"SK"
,,,"SL"
,,,"SM"
,,,"SO"
,,,"SP"
,,,"SQ"
,,,"TA"
,,,"TC"
,,,"TE"
,,,"TG"
,,,"TI"
,,,"TK"
,,,"TM"
,,,"TQ"
,,,"U"
,,,"UA"
,,,"UC"
,,,"UD"
,,,"UE"
,,,"UF"
,,,"UG"
,,,"UH"
,,,"UI"
,,,"UJ"
,,,"UK"
,,,"UL"
,,,"UN"
,,,"UO"
,,,"UP"
,,,"UQ"
,,,"V"
,,,"VB"
,,,"VD"
,,,"VF"
,,,"VH"
,,,"VJ"
,,,"VL"
,,,"VN"
,,,"VP"
,,,"W"
,,,"WA"
,,,"WB"
,,,"WC"
,,,"WE"
,,,"WF"
,,,"WG"
,,,"WH"
,,,"WI"
,,,"WJ"
,,,"WK"
,,,"WL"
,,,"WM"
,,,"WN"
,,,"WO"
,,,"WP"
,,,"XC"
,,,"XE"
,,,"XG"
,,,"XI"
,,,"XK"
,,,"XO"
,,,"XQ"
,,,"Y"
,,,"YA"
,,,"YB"
,,,"YC"
,,,"YD"
,,,"YE"
,,,"YF"
,,,"YG"
,,,"YH"
,,,"YI"
,,,"YJ"
,,,"YK"
,,,"YL"
,,,"YM"
,,,"YO"
,,,"YP"
,,,"YQ"
,,,"Z"
,,,"ZB"
,,,"ZD"
,,,"ZH"
,,,"ZJ"
,,,"ZL"
,,,"ZN"
,,,"ZP"
,,,"AI"
,,,"AR"
,,,"CI"
,,,"CJ"
,,,"EL"
,,,"EM"
,,,"G"
,,,"GA"
,,,"GM"
,,,"GO"
,,,"GP"
,,,"HI"
,,,"HO"
,,,"IN"
,,,"JF"
,,,"JL"
,,,"LG"
,,,"LM"
,,,"MB"
,,,"ME"
,,,"MF"
,,,"MM"
,,,"NN"
,,,"OA"
,,,"PG"
,,,"QD"
,,,"QI"
,,,"QJ"
,,,"RL"
,,,"SC"
,,,"SH"
,,,"SN"
,,,"TO"
,,,"UB"
,,,"UM"
,,,"WD"
,,,"WQ"
,,,"XA"
,,,"XM"
,,,"YN"
,,,"ZF"
,,"RNA","BA","Panicum mosaic virus strain Kansas 109S"
,,,"BC"
,,,"BE"
,,,"BG"
,,,"BI"
,,,"BK"
,,,"BM"
,,,"BO"
,,,"BQ"
,,,"D"
,,,"DD"
,,,"DF"
,,,"DH"
,,,"DN"
,,,"DP"
,,,"DR"
,,,"FA"
,,,"FC"
,,,"FE"
,,,"FG"
,,,"FI"
,,,"FK"
,,,"FM"
,,,"FO"
,,,"FQ"
,,,"H"
,,,"HB"
,,,"HD"
,,,"HF"
,,,"HJ"
,,,"HN"
,,,"HP"
,,,"HR"
,,,"JA"
,,,"JE"
,,,"JG"
,,,"JI"
,,,"JM"
,,,"JO"
,,,"JQ"
,,,"L"
,,,"LB"
,,,"LD"
,,,"LH"
,,,"LJ"
,,,"LN"
,,,"LP"
,,,"LR"
,,,"NA"
,,,"NC"
,,,"NE"
,,,"NG"
,,,"NI"
,,,"NK"
,,,"NM"
,,,"NO"
,,,"P"
,,,"PB"
,,,"PD"
,,,"PF"
,,,"PH"
,,,"PJ"
,,,"PN"
,,,"PP"
,,,"RA"
,,,"RC"
,,,"RE"
,,,"RG"
,,,"RI"
,,,"RK"
,,,"RM"
,,,"RO"
,,,"RQ"
,,,"TF"
,,,"TH"
,,,"TJ"
,,,"TL"
,,,"VA"
,,,"VC"
,,,"VG"
,,,"VK"
,,,"VM"
,,,"VO"
,,,"VQ"
,,,"X"
,,,"XB"
,,,"XD"
,,,"XF"
,,,"XH"
,,,"XJ"
,,,"XL"
,,,"XN"
,,,"XP"
,,,"ZA"
,,,"ZC"
,,,"ZE"
,,,"ZG"
,,,"ZI"
,,,"ZK"
,,,"ZM"
,,,"ZQ"
,,,"DB"
,,,"DJ"
,,,"DL"
,,,"HH"
,,,"HL"
,,,"JC"
,,,"JK"
,,,"LF"
,,,"LL"
,,,"NQ"
,,,"PL"
,,,"T"
,,,"TB"
,,,"TD"
,,,"TN"
,,,"TP"
,,,"VE"
,,,"VI"
,,,"ZO"
"4V9A","RIBOSOME/ANTIBIOTIC","RNA","A","Thermus thermophilus HB8"
,,,"BB"
,,"Protein","B","Thermus thermophilus HB8"
,,,"CB"
,,"Protein","C","Thermus thermophilus HB8"
,,,"DB"
,,"Protein","D","Thermus thermophilus HB8"
,,,"EB"
,,"Protein","E","Thermus thermophilus HB8"
,,,"FB"
,,"Protein","F","Thermus thermophilus HB8"
,,,"GB"
,,"Protein","G","Thermus thermophilus HB8"
,,,"HB"
,,"Protein","H","Thermus thermophilus HB8"
,,,"IB"
,,"Protein","I","Thermus thermophilus HB8"
,,,"JB"
,,"Protein","J","Thermus thermophilus HB8"
,,,"KB"
,,"Protein","K","Thermus thermophilus HB8"
,,,"LB"
,,"Protein","MB","Thermus thermophilus HB8"
,,,"L"
,,"Protein","M","Thermus thermophilus HB8"
,,,"NB"
,,"Protein","N","Thermus thermophilus HB8"
,,,"OB"
,,"Protein","PB","Thermus thermophilus HB8"
,,,"O"
,,"Protein","P","Thermus thermophilus HB8"
,,,"QB"
,,"Protein","Q","Thermus thermophilus HB8"
,,,"RB"
,,"Protein","R","Thermus thermophilus HB8"
,,,"SB"
,,"Protein","S","Thermus thermophilus HB8"
,,,"TB"
